# t dt Cd Cl drag_x drag_y pressure_x pressure_y viscous_x viscous_y
0 0 -0.405 -0 -0.2025 -0 -0 -0 -0.2025 -0
0.05625 0.05625 -26.6042 -0.00174758 -13.3021 -0.000873792 -12.7742 -0.000864086 -0.527874 -9.70576e-06
0.1125 0.05625 -0.0808513 0.15075 -0.0404256 0.0753752 0.35143 0.118933 -0.391856 -0.0435581
0.16875 0.05625 -1.69191 0.112271 -0.845956 0.0561354 -0.465208 0.0885382 -0.380748 -0.0324029
0.225 0.05625 -1.40552 0.171207 -0.702758 0.0856036 -0.346936 0.0843209 -0.355822 0.00128273
0.28125 0.05625 -1.52161 0.169659 -0.760806 0.0848297 -0.424339 0.0785365 -0.336467 0.00629318
0.3375 0.05625 -1.57795 0.160759 -0.788975 0.0803794 -0.469145 0.0722319 -0.319829 0.00814747
0.39375 0.05625 -1.61013 0.142541 -0.805066 0.0712707 -0.499073 0.0629715 -0.305993 0.00829919
0.45 0.05625 -1.61861 0.120063 -0.809304 0.0600316 -0.515461 0.0527003 -0.293843 0.00733132
0.50625 0.05625 -1.61389 0.0945834 -0.806945 0.0472917 -0.52366 0.0418682 -0.283286 0.00542348
0.5625 0.05625 -1.59967 0.0684278 -0.799833 0.0342139 -0.525828 0.0310639 -0.274004 0.00314995
0.61875 0.05625 -1.57962 0.0431103 -0.789808 0.0215551 -0.524022 0.0206826 -0.265786 0.000872499
0.675 0.05625 -1.55673 0.0191531 -0.778363 0.00957657 -0.51986 0.0108074 -0.258503 -0.0012308
0.73125 0.05625 -1.53332 -0.00334546 -0.766662 -0.00167273 -0.514581 0.00139977 -0.252082 -0.0030725
0.7875 0.05625 -1.5111 -0.0244954 -0.75555 -0.0122477 -0.509076 -0.00762677 -0.246474 -0.00462092
0.84375 0.05625 -1.49119 -0.0444883 -0.745597 -0.0222442 -0.503948 -0.0163629 -0.241648 -0.0058813
0.9 0.05625 -1.47429 -0.063502 -0.737144 -0.031751 -0.499569 -0.0248701 -0.237575 -0.00688095
0.95625 0.05625 -1.4607 -0.0816519 -0.730349 -0.040826 -0.496128 -0.0331663 -0.234221 -0.00765967
1.0125 0.05625 -1.45044 -0.0989806 -0.725222 -0.0494903 -0.493674 -0.0412267 -0.231548 -0.00826356
1.06875 0.05625 -1.44333 -0.115469 -0.721666 -0.0577343 -0.492158 -0.048994 -0.229508 -0.00874028
1.125 0.05625 -1.43901 -0.131055 -0.719505 -0.0655274 -0.49146 -0.0563924 -0.228045 -0.00913496
1.18125 0.05625 -1.43702 -0.14566 -0.718509 -0.0728302 -0.491416 -0.0633434 -0.227093 -0.00948682
1.2375 0.05625 -1.43684 -0.15921 -0.718418 -0.0796051 -0.491836 -0.0697786 -0.226582 -0.00982656
1.29375 0.05625 -1.43791 -0.171648 -0.718957 -0.0858241 -0.492525 -0.0756492 -0.226432 -0.0101749
1.35 0.05625 -1.4397 -0.182949 -0.71985 -0.0914744 -0.493288 -0.080932 -0.226562 -0.0105424
1.40625 0.05625 -1.44167 -0.193122 -0.720836 -0.0965611 -0.493947 -0.0856307 -0.226889 -0.0109304
1.4625 0.05625 -1.44336 -0.202213 -0.721678 -0.101107 -0.494347 -0.0897737 -0.227331 -0.011333
1.51875 0.05625 -1.44434 -0.210298 -0.722169 -0.105149 -0.494356 -0.0934092 -0.227813 -0.0117398
1.575 0.05625 -1.44428 -0.217477 -0.722142 -0.108738 -0.493874 -0.0965998 -0.228269 -0.0121386
1.63125 0.05625 -1.44295 -0.223866 -0.721474 -0.111933 -0.492832 -0.0994152 -0.228642 -0.0125179
1.6875 0.05625 -1.44017 -0.229591 -0.720083 -0.114795 -0.491191 -0.101926 -0.228891 -0.0128689
1.74375 0.05625 -1.43587 -0.234777 -0.717935 -0.117388 -0.488944 -0.104201 -0.22899 -0.0131871
1.8 0.05625 -1.43008 -0.239547 -0.715038 -0.119773 -0.486111 -0.106302 -0.228926 -0.0134717
1.85625 0.05625 -1.42288 -0.244015 -0.711439 -0.122007 -0.482739 -0.108281 -0.2287 -0.0137261
1.9125 0.05625 -1.41444 -0.248285 -0.707219 -0.124142 -0.478895 -0.110186 -0.228324 -0.013956
1.96875 0.05625 -1.40497 -0.25245 -0.702485 -0.126225 -0.474667 -0.112056 -0.227817 -0.0141689
2.025 0.05625 -1.39473 -0.256587 -0.697365 -0.128294 -0.470156 -0.113921 -0.227209 -0.0143721
2.08125 0.05625 -1.38399 -0.260761 -0.691997 -0.130381 -0.465469 -0.115809 -0.226528 -0.0145722
2.1375 0.05625 -1.37305 -0.26502 -0.686523 -0.13251 -0.460716 -0.117736 -0.225808 -0.014774
2.19375 0.05625 -1.36216 -0.269391 -0.681081 -0.134696 -0.456002 -0.119715 -0.225079 -0.0149809
2.25 0.05625 -1.35159 -0.273886 -0.675796 -0.136943 -0.451425 -0.121749 -0.224371 -0.0151945
2.30625 0.05625 -1.34156 -0.278496 -0.67078 -0.139248 -0.44707 -0.123833 -0.22371 -0.0154153
2.3625 0.05625 -1.33224 -0.283192 -0.66612 -0.141596 -0.443002 -0.125953 -0.223118 -0.0156434
2.41875 0.05625 -1.32376 -0.287933 -0.661882 -0.143966 -0.439271 -0.128087 -0.22261 -0.0158788
2.475 0.05625 -1.31621 -0.292661 -0.658106 -0.14633 -0.435908 -0.130208 -0.222199 -0.016122
2.53125 0.05625 -1.30962 -0.297312 -0.65481 -0.148656 -0.432921 -0.132282 -0.221889 -0.016374
2.5875 0.05625 -1.30397 -0.301818 -0.651986 -0.150909 -0.430304 -0.134273 -0.221681 -0.0166362
2.64375 0.05625 -1.29922 -0.306108 -0.649609 -0.153054 -0.428036 -0.136144 -0.221572 -0.0169104
2.7 0.05625 -1.29527 -0.310117 -0.647636 -0.155059 -0.426083 -0.13786 -0.221553 -0.0171982
2.75625 0.05625 -1.29202 -0.313785 -0.646012 -0.156893 -0.424402 -0.139392 -0.22161 -0.0175007
2.8125 0.05625 -1.28935 -0.317061 -0.644675 -0.15853 -0.422944 -0.140712 -0.221731 -0.0178183
2.86875 0.05625 -1.28712 -0.319902 -0.643559 -0.159951 -0.421662 -0.141801 -0.221898 -0.0181502
2.925 0.05625 -1.2852 -0.32228 -0.642598 -0.16114 -0.420504 -0.142645 -0.222094 -0.0184947
2.98125 0.05625 -1.28346 -0.324173 -0.641728 -0.162087 -0.419426 -0.143238 -0.222302 -0.0188489
3 0.01875 -1.28235 -0.324911 -0.641173 -0.162456 -0.41853 -0.143434 -0.222643 -0.0190217
